word,word_id,document_frequency,idf,average_tf,average_tfidf,total_occurrences
user,38,347,1.9174394970780284,0.6551724137931034,1.2562534636028462,570
the,12,294,2.0826666205126827,0.4425287356321839,0.9216398263188308,385
to,14,226,2.3446919593711,0.30689655172413793,0.7195778771863032,267
a,0,189,2.5226179046920167,0.25862068965517243,0.6524011822479353,225
of,25,180,2.571144945586677,0.22873563218390805,0.5881124645652284,199
is,8,163,2.669775549028304,0.21379310344827587,0.5707796001370857,186
for,80,152,2.7392040554600676,0.20229885057471264,0.5541378319091631,176
and,30,146,2.7792093900737664,0.18735632183908046,0.5207024489448551,163
in,116,149,2.759006682756247,0.18850574712643678,0.5200886160597983,164
i,67,113,3.0334435284580072,0.1528735632183908,0.46373332101714365,133
on,200,108,3.078294094623359,0.135632183908046,0.4175157507650073,118
you,40,79,3.3876153421786213,0.10574712643678161,0.35823058790854384,92
it,274,70,3.5069620998111874,0.09080459770114943,0.31844828262653313,79
that,277,74,3.4521538633161923,0.09080459770114943,0.3134714427608956,79
this,291,78,3.4001941243854814,0.09195402298850575,0.31266152867912467,80
with,17,67,3.550134271676396,0.08160919540229886,0.2897236014816369,71
are,31,59,3.675297414630402,0.07471264367816093,0.2745911861505473,65
trump,185,59,3.675297414630402,0.06896551724137931,0.2534687872158898,60
be,393,57,3.7091989663060834,0.067816091954023,0.2515433781747804,59
not,71,57,3.7091989663060834,0.067816091954023,0.2515433781747804,59
as,77,46,3.919494375142444,0.06206896551724138,0.2432789612157379,54
have,6,49,3.857618971424357,0.05862068965517241,0.22613628453177267,51
my,10,49,3.857618971424357,0.05862068965517241,0.22613628453177267,51
just,69,47,3.8984409659446118,0.05747126436781609,0.22404833137612712,50
at,20,45,3.941000580363408,0.054022988505747126,0.21290462905411514,47
from,255,47,3.8984409659446118,0.054022988505747126,0.21060543149355948,47
so,141,43,3.985452342934242,0.05172413793103448,0.20614408670349527,45
was,549,41,4.031972358569135,0.04942528735632184,0.1992813924350262,43
we,523,41,4.031972358569135,0.04942528735632184,0.1992813924350262,43
by,42,42,4.008441861158941,0.04942528735632184,0.19811839083889018,43
how,81,40,4.056069910148195,0.047126436781609195,0.1911481222023862,41
about,1,37,4.132055817126117,0.04597701149425287,0.18997957779890193,40
can,569,37,4.132055817126117,0.04482758620689655,0.18523008835392937,39
all,240,38,4.106080330722856,0.04482758620689655,0.18406566999792112,39
your,430,32,4.273134415386023,0.040229885057471264,0.17190770636610436,35
people,537,32,4.273134415386023,0.03908045977011494,0.16699605761278716,34
he,44,32,4.273134415386023,0.03908045977011494,0.1669960576127871,34
has,417,33,4.243281452236341,0.03908045977011494,0.16582939008739725,34
its,138,33,4.243281452236341,0.03908045977011494,0.16582939008739722,34
they,538,30,4.335654772367357,0.03793103448275862,0.1644558706760032,33
im,68,32,4.273134415386023,0.0367816091954023,0.15717276010615258,32
will,145,32,4.273134415386023,0.0367816091954023,0.15717276010615258,32
if,471,29,4.368444595190347,0.035632183908045977,0.1556572212079319,31
what,683,30,4.335654772367357,0.035632183908045977,0.15448884821079087,31
like,46,31,4.303906074052776,0.035632183908045977,0.15335757275360465,31
up,37,31,4.303906074052776,0.035632183908045977,0.15335757275360465,31
me,48,27,4.437437466677299,0.034482758620689655,0.1530150850578379,30
get,266,28,4.402346146866028,0.034482758620689655,0.15180503954710445,30
his,679,25,4.511545438831021,0.03333333333333333,0.15038484796103405,29
us,463,28,4.402346146866028,0.03333333333333333,0.14674487156220095,29
more,1036,29,4.368444595190347,0.03333333333333333,0.14561481983967822,29
out,246,28,4.402346146866028,0.03218390804597701,0.14168470357729748,28
but,59,28,4.402346146866028,0.03218390804597701,0.14168470357729748,28
who,124,25,4.511545438831021,0.03103448275862069,0.14001347913613515,27
no,94,23,4.591588146504558,0.028735632183908046,0.13194218811794706,25
an,431,24,4.550766151984302,0.028735632183908046,0.13076914229839948,25
or,258,22,4.634147760923353,0.027586206896551724,0.12783855892202353,24
dont,860,23,4.591588146504558,0.027586206896551724,0.12666450059322917,24
one,95,21,4.678599523494187,0.026436781609195402,0.1236871138395015,23
good,137,22,4.634147760923353,0.026436781609195402,0.12251195230027256,23
now,1334,23,4.591588146504558,0.026436781609195402,0.1213868130685113,23
love,171,20,4.72511953912908,0.02528735632183908,0.11948578144924113,22
when,252,22,4.634147760923353,0.02528735632183908,0.11718534567852158,22
go,136,21,4.678599523494187,0.02413793103448276,0.11293171263606656,21
see,996,19,4.773909703298512,0.022988505747126436,0.10974505065054051,20
our,519,19,4.773909703298512,0.021839080459770115,0.10425779811801349,19
via,122,19,4.773909703298512,0.021839080459770115,0.10425779811801349,19
right,855,19,4.773909703298512,0.021839080459770115,0.10425779811801349,19
new,319,19,4.773909703298512,0.021839080459770115,0.10425779811801349,19
obama,718,17,4.8792702189563375,0.020689655172413793,0.10095041832323456,18
some,475,17,4.8792702189563375,0.020689655172413793,0.10095041832323456,18
would,174,18,4.825202997686063,0.020689655172413793,0.09983178615902198,18
over,442,15,4.997053254612721,0.01954022988505747,0.0976435693430072,17
really,653,16,4.936428632796287,0.01954022988505747,0.0964589502960194,17
their,856,16,4.936428632796287,0.01954022988505747,0.0964589502960194,17
only,336,17,4.8792702189563375,0.01954022988505747,0.09534206174972154,17
great,497,17,4.8792702189563375,0.01954022988505747,0.09534206174972154,17
here,377,16,4.936428632796287,0.01839080459770115,0.09078489439625356,16
than,2038,16,4.936428632796287,0.01839080459770115,0.09078489439625355,16
president,35,14,5.061591775750292,0.017241379310344827,0.08726882371983263,15
going,343,14,5.061591775750292,0.017241379310344827,0.08726882371983263,15
u,540,14,5.061591775750292,0.017241379310344827,0.08726882371983263,15
why,279,15,4.997053254612721,0.017241379310344827,0.08615609059677105,15
thanksgiving,311,15,4.997053254612721,0.017241379310344827,0.08615609059677105,15
think,539,15,4.997053254612721,0.017241379310344827,0.08615609059677105,15
most,9,15,4.997053254612721,0.017241379310344827,0.08615609059677105,15
2,524,15,4.997053254612721,0.017241379310344827,0.08615609059677105,15
thankyouobama,428,15,4.997053254612721,0.017241379310344827,0.08615609059677105,15
white,1314,15,4.997053254612721,0.017241379310344827,0.08615609059677105,15
5,98,15,4.997053254612721,0.017241379310344827,0.08615609059677105,15
security,119,15,4.997053254612721,0.017241379310344827,0.08615609059677105,15
do,79,15,4.997053254612721,0.017241379310344827,0.08615609059677105,15
tesla,955,11,5.284735327064502,0.016091954022988506,0.0850417179067851,14
day,532,13,5.130584647237244,0.016091954022988506,0.08256113225439243,14
bannon,745,13,5.130584647237244,0.016091954022988506,0.08256113225439243,14
too,50,13,5.130584647237244,0.016091954022988506,0.08256113225439243,14
them,350,13,5.130584647237244,0.016091954022988506,0.08256113225439243,14
minimum,772,13,5.130584647237244,0.016091954022988506,0.08256113225439243,14
time,484,14,5.061591775750292,0.016091954022988506,0.08145090213851046,14
look,493,14,5.061591775750292,0.016091954022988506,0.08145090213851046,14
need,70,14,5.061591775750292,0.016091954022988506,0.08145090213851046,14
fantasticbeasts,798,14,5.061591775750292,0.016091954022988506,0.08145090213851046,14
were,352,14,5.061591775750292,0.016091954022988506,0.08145090213851046,14
should,364,14,5.061591775750292,0.016091954022988506,0.08145090213851046,14
her,395,14,5.061591775750292,0.016091954022988506,0.08145090213851044,14
voter,351,10,5.371746704054132,0.014942528735632184,0.08026747948586635,13
say,140,11,5.284735327064502,0.014942528735632184,0.07896730948487186,13
hatchimals,470,11,5.284735327064502,0.014942528735632184,0.07896730948487186,13
did,650,12,5.204692619390966,0.014942528735632184,0.07777126902538226,13
fossil,244,12,5.204692619390966,0.014942528735632184,0.07777126902538226,13
know,933,12,5.204692619390966,0.014942528735632184,0.07777126902538226,13
life,508,12,5.204692619390966,0.014942528735632184,0.07777126902538224,13
wage,777,12,5.204692619390966,0.014942528735632184,0.07777126902538224,13
watching,312,13,5.130584647237244,0.014942528735632184,0.07666390852193583,13
young,285,13,5.130584647237244,0.014942528735632184,0.07666390852193583,13
being,253,13,5.130584647237244,0.014942528735632184,0.07666390852193583,13
been,326,13,5.130584647237244,0.014942528735632184,0.07666390852193583,13
steve,750,13,5.130584647237244,0.014942528735632184,0.07666390852193583,13
4,18,11,5.284735327064502,0.013793103448275862,0.07289290106295865,12
she,347,11,5.284735327064502,0.013793103448275862,0.07289290106295865,12
speech,389,11,5.284735327064502,0.013793103448275862,0.07289290106295865,12
news,104,12,5.204692619390966,0.013793103448275862,0.07178886371573746,12
israel,21,12,5.204692619390966,0.013793103448275862,0.07178886371573746,12
kim,727,12,5.204692619390966,0.013793103448275862,0.07178886371573746,12
take,966,12,5.204692619390966,0.013793103448275862,0.07178886371573746,12
where,922,12,5.204692619390966,0.013793103448275862,0.07178886371573746,12
grayson,404,12,5.204692619390966,0.013793103448275862,0.07178886371573746,12
many,535,12,5.204692619390966,0.013793103448275862,0.07178886371573746,12
bob,623,12,5.204692619390966,0.013793103448275862,0.07178886371573746,12
gun,554,12,5.204692619390966,0.013793103448275862,0.07178886371573746,12
please,1604,10,5.371746704054132,0.01264367816091954,0.06791863648804075,11
him,65,10,5.371746704054132,0.01264367816091954,0.06791863648804075,11
black,307,10,5.371746704054132,0.01264367816091954,0.06791863648804075,11
fuels,245,11,5.284735327064502,0.01264367816091954,0.06681849264104543,11
trumps,440,11,5.284735327064502,0.01264367816091954,0.06681849264104543,11
god,386,11,5.284735327064502,0.01264367816091954,0.06681849264104543,11
still,1439,11,5.284735327064502,0.01264367816091954,0.06681849264104543,11
vegetarianism,16,11,5.284735327064502,0.01264367816091954,0.06681849264104543,11
control,1131,11,5.284735327064502,0.01264367816091954,0.06681849264104543,11
after,737,11,5.284735327064502,0.01264367816091954,0.06681849264104543,11
3,125,11,5.284735327064502,0.01264367816091954,0.06681849264104543,11
thank,1618,11,5.284735327064502,0.01264367816091954,0.06681849264104543,11
doesnt,409,11,5.284735327064502,0.01264367816091954,0.06681849264104542,11
supremacists,1313,11,5.284735327064502,0.01264367816091954,0.06681849264104542,11
best,403,11,5.284735327064502,0.01264367816091954,0.06681849264104542,11
back,392,11,5.284735327064502,0.01264367816091954,0.06681849264104542,11
allen,400,11,5.284735327064502,0.01264367816091954,0.06681849264104542,11
beautyandthebeast,648,11,5.284735327064502,0.01264367816091954,0.06681849264104542,11
nbawards,360,11,5.284735327064502,0.01264367816091954,0.06681849264104542,11
same,1201,11,5.284735327064502,0.01264367816091954,0.06681849264104542,11
make,1243,11,5.284735327064502,0.01264367816091954,0.06681849264104542,11
trumptransitionteam,238,11,5.284735327064502,0.01264367816091954,0.06681849264104542,11
shes,973,8,5.572417399516284,0.011494252873563218,0.06405077470708372,10
rightists,600,9,5.467056883858457,0.011494252873563218,0.06283973429722364,10
because,2004,9,5.467056883858457,0.011494252873563218,0.06283973429722364,10
thisisus,512,10,5.371746704054132,0.011494252873563218,0.06174421498912796,10
cabinet,678,10,5.371746704054132,0.011494252873563218,0.06174421498912796,10
pipeline,420,10,5.371746704054132,0.011494252873563218,0.06174421498912796,10
happy,792,10,5.371746704054132,0.011494252873563218,0.06174421498912796,10
2016,1110,10,5.371746704054132,0.011494252873563218,0.06174421498912796,10
left,82,10,5.371746704054132,0.011494252873563218,0.06174421498912796,10
world,731,10,5.371746704054132,0.011494252873563218,0.06174421498912796,10
win,1096,10,5.371746704054132,0.011494252873563218,0.06174421498912796,10
latest,578,10,5.371746704054132,0.011494252873563218,0.06174421498912796,10
does,571,10,5.371746704054132,0.011494252873563218,0.06174421498912796,10
medicare,451,10,5.371746704054132,0.011494252873563218,0.06174421498912796,10
work,270,10,5.371746704054132,0.011494252873563218,0.06174421498912796,10
yes,1311,10,5.371746704054132,0.011494252873563218,0.06174421498912796,10
david,1166,10,5.371746704054132,0.011494252873563218,0.06174421498912796,10
social,1253,10,5.371746704054132,0.011494252873563218,0.06174421498912796,10
s,952,10,5.371746704054132,0.011494252873563218,0.06174421498912796,10
want,1028,10,5.371746704054132,0.011494252873563218,0.06174421498912796,10
even,62,10,5.371746704054132,0.011494252873563218,0.06174421498912796,10
liberals,1223,10,5.371746704054132,0.011494252873563218,0.06174421498912796,10
way,239,10,5.371746704054132,0.011494252873563218,0.06174421498912796,10
today,278,10,5.371746704054132,0.011494252873563218,0.06174421498912796,10
already,1409,8,5.572417399516284,0.010344827586206896,0.05764569723637536,9
animal,383,8,5.572417399516284,0.010344827586206896,0.05764569723637536,9
palestine,26,8,5.572417399516284,0.010344827586206896,0.05764569723637536,9
hope,1138,8,5.572417399516284,0.010344827586206896,0.05764569723637536,9
got,482,8,5.572417399516284,0.010344827586206896,0.057645697236375346,9
putin,828,8,5.572417399516284,0.010344827586206896,0.057645697236375346,9
cuba,627,8,5.572417399516284,0.010344827586206896,0.057645697236375346,9
vr,370,8,5.572417399516284,0.010344827586206896,0.057645697236375346,9
tony,204,9,5.467056883858457,0.010344827586206896,0.05655576086750128,9
maga,1300,9,5.467056883858457,0.010344827586206896,0.056555760867501276,9
leftists,1194,9,5.467056883858457,0.010344827586206896,0.056555760867501276,9
blackfriday,1121,9,5.467056883858457,0.010344827586206896,0.056555760867501276,9
model,951,9,5.467056883858457,0.010344827586206896,0.056555760867501276,9
help,1369,9,5.467056883858457,0.010344827586206896,0.056555760867501276,9
live,170,9,5.467056883858457,0.010344827586206896,0.056555760867501276,9
video,568,9,5.467056883858457,0.010344827586206896,0.056555760867501276,9
doing,384,9,5.467056883858457,0.010344827586206896,0.056555760867501276,9
leonard,331,9,5.467056883858457,0.010344827586206896,0.056555760867501276,9
cohen,327,9,5.467056883858457,0.010344827586206896,0.056555760867501276,9
am,391,9,5.467056883858457,0.010344827586206896,0.056555760867501276,9
oh,388,9,5.467056883858457,0.010344827586206896,0.056555760867501276,9
while,313,9,5.467056883858457,0.010344827586206896,0.056555760867501276,9
cant,293,9,5.467056883858457,0.010344827586206896,0.056555760867501276,9
thing,13,9,5.467056883858457,0.010344827586206896,0.056555760867501276,9
cy,281,9,5.467056883858457,0.010344827586206896,0.056555760867501276,9
dakota,416,9,5.467056883858457,0.010344827586206896,0.056555760867501276,9
first,525,9,5.467056883858457,0.010344827586206896,0.056555760867501276,9
these,614,9,5.467056883858457,0.010344827586206896,0.056555760867501276,9
dylan,624,9,5.467056883858457,0.010344827586206896,0.056555760867501276,9
access,414,9,5.467056883858457,0.010344827586206896,0.056555760867501276,9
youre,919,9,5.467056883858457,0.010344827586206896,0.056555760867501276,9
1,998,9,5.467056883858457,0.010344827586206896,0.056555760867501276,9
next,896,9,5.467056883858457,0.010344827586206896,0.056555760867501276,9
hillary,639,7,5.690200435172667,0.009195402298850575,0.05232368216250728,8
